sample_name	condition	name	condition
human_brain_rna_1_ERR2812349	brain
human_brain_rna_2_ERR2812350	brain
human_brain_rna_3_ERR2812351	brain
human_liver_rna_1_ERR2812355	liver
human_liver_rna_2_ERR2812356	liver
human_liver_rna_3_ERR2812357	liver
