sample_name	condition
SRR1302901_GSM1400917_GFPsh2_Homo_sapiens_RNA-Seq	Control
SRR1302902_GSM1400917_GFPsh2_Homo_sapiens_RNA-Seq	Control
SRR1302900_GSM1400916_GFPsh1_Homo_sapiens_RNA-Seq	Control
SRR1302899_GSM1400916_GFPsh1_Homo_sapiens_RNA-Seq	Control
SRR1302912_GSM1400922_CDK13sh1_Homo_sapiens_RNA-Seq	CDK13_knockown
SRR1302911_GSM1400922_CDK13sh1_Homo_sapiens_RNA-Seq	CDK13_knockown
SRR1302914_GSM1400923_CDK13sh2_Homo_sapiens_RNA-Seq	CDK13_knockown
SRR1302913_GSM1400923_CDK13sh2_Homo_sapiens_RNA-Seq	CDK13_knockown
